State,Government,Mode,Type,Year,Amount (thousands)
United States,Local,Highway,Expenditure,2021,120460851
United States,Local,Highway,Expenditure,2020,116055512
United States,Local,Highway,Expenditure,2019,109714508
United States,Local,Highway,Expenditure,2018,110691937
United States,Local,Highway,Expenditure,2017,101468042
United States,Local,Highway,Expenditure,2016,99542214
United States,Local,Highway,Expenditure,2015,95132536
United States,Local,Highway,Expenditure,2014,91089054
United States,Local,Highway,Expenditure,2013,90165894
United States,Local,Highway,Expenditure,2012,88269063
United States,Local,Highway,Expenditure,2011,86924430
United States,Local,Highway,Expenditure,2010,89606954
United States,Local,Highway,Expenditure,2009,90125072
United States,Local,Highway,Expenditure,2008,91033110
United States,Local,Highway,Expenditure,2007,80285994
United States,Local,Highway,Expenditure,2006,71920672
United States,Local,Highway,Expenditure,2005,67517978
United States,Local,Highway,Expenditure,2004,65186006
United States,Local,Transit,Expenditure,2021,63326306
United States,Local,Transit,Expenditure,2020,66356379
United States,Local,Transit,Expenditure,2019,62073347
United States,Local,Transit,Expenditure,2018,59884719
United States,Local,Transit,Expenditure,2017,59931468
United States,Local,Transit,Expenditure,2016,55041663
United States,Local,Transit,Expenditure,2015,52840419
United States,Local,Transit,Expenditure,2014,52376633
United States,Local,Transit,Expenditure,2013,51057384
United States,Local,Transit,Expenditure,2012,49459145
United States,Local,Transit,Expenditure,2011,47137478
United States,Local,Transit,Expenditure,2010,48741564
United States,Local,Transit,Expenditure,2009,48083668
United States,Local,Transit,Expenditure,2008,41879076
United States,Local,Transit,Expenditure,2007,38159698
United States,Local,Transit,Expenditure,2006,36278250
United States,Local,Transit,Expenditure,2005,35125439
United States,Local,Transit,Expenditure,2004,35376864
United States,State,Highway,Expenditure,2021,204538492
United States,State,Highway,Expenditure,2020,205962631
United States,State,Highway,Expenditure,2019,211961125
United States,State,Highway,Expenditure,2018,198292428
United States,State,Highway,Expenditure,2017,183694175
United States,State,Highway,Expenditure,2016,179808726
United States,State,Highway,Expenditure,2015,171745378
United States,State,Highway,Expenditure,2014,164466154
United States,State,Highway,Expenditure,2013,161414101
United States,State,Highway,Expenditure,2012,161934910
United States,State,Highway,Expenditure,2011,154886676
United States,State,Highway,Expenditure,2010,157888683
United States,State,Highway,Expenditure,2009,152747689
United States,State,Highway,Expenditure,2008,152971691
United States,State,Highway,Expenditure,2007,150044597
United States,State,Highway,Expenditure,2006,142787088
United States,State,Highway,Expenditure,2005,130930982
United States,State,Highway,Expenditure,2004,118436378
United States,State,Transit,Expenditure,2021,27184682
United States,State,Transit,Expenditure,2020,23403623
United States,State,Transit,Expenditure,2019,19863428
United States,State,Transit,Expenditure,2018,20447867
United States,State,Transit,Expenditure,2017,18572710
United States,State,Transit,Expenditure,2016,17082491
United States,State,Transit,Expenditure,2015,22106339
United States,State,Transit,Expenditure,2014,14065583
United States,State,Transit,Expenditure,2013,17326895
United States,State,Transit,Expenditure,2012,12781241
United States,State,Transit,Expenditure,2011,13430428
United States,State,Transit,Expenditure,2010,11407192
United States,State,Transit,Expenditure,2009,10692011
United States,State,Transit,Expenditure,2008,10013871
United States,State,Transit,Expenditure,2007,10013724
United States,State,Transit,Expenditure,2006,9952526
United States,State,Transit,Expenditure,2005,9077358
United States,State,Transit,Expenditure,2004,8875806
United States,State and Local,Highway,Expenditure,2021,324999343
United States,State and Local,Highway,Expenditure,2020,322018143
United States,State and Local,Highway,Expenditure,2019,321675633
United States,State and Local,Highway,Expenditure,2018,308984365
United States,State and Local,Highway,Expenditure,2017,285162217
United States,State and Local,Highway,Expenditure,2016,279350940
United States,State and Local,Highway,Expenditure,2015,266877914
United States,State and Local,Highway,Expenditure,2014,255555208
United States,State and Local,Highway,Expenditure,2013,251579995
United States,State and Local,Highway,Expenditure,2012,250203973
United States,State and Local,Highway,Expenditure,2011,241811106
United States,State and Local,Highway,Expenditure,2010,247495637
United States,State and Local,Highway,Expenditure,2009,242872761
United States,State and Local,Highway,Expenditure,2008,244004801
United States,State and Local,Highway,Expenditure,2007,230330591
United States,State and Local,Highway,Expenditure,2006,214707760
United States,State and Local,Highway,Expenditure,2005,198448960
United States,State and Local,Highway,Expenditure,2004,183622384
United States,State and Local,Transit,Expenditure,2021,90510988
United States,State and Local,Transit,Expenditure,2020,89760002
United States,State and Local,Transit,Expenditure,2019,81936775
United States,State and Local,Transit,Expenditure,2018,80332586
United States,State and Local,Transit,Expenditure,2017,78504178
United States,State and Local,Transit,Expenditure,2016,72124154
United States,State and Local,Transit,Expenditure,2015,74946758
United States,State and Local,Transit,Expenditure,2014,66442216
United States,State and Local,Transit,Expenditure,2013,68384279
United States,State and Local,Transit,Expenditure,2012,62240386
United States,State and Local,Transit,Expenditure,2011,60567906
United States,State and Local,Transit,Expenditure,2010,60148756
United States,State and Local,Transit,Expenditure,2009,58775679
United States,State and Local,Transit,Expenditure,2008,51892947
United States,State and Local,Transit,Expenditure,2007,48173422
United States,State and Local,Transit,Expenditure,2006,46230776
United States,State and Local,Transit,Expenditure,2005,44202797
United States,State and Local,Transit,Expenditure,2004,44252670
Alabama,Local,Highway,Expenditure,2021,1337763
Alabama,Local,Highway,Expenditure,2020,1232437
Alabama,Local,Highway,Expenditure,2019,1158539
Alabama,Local,Highway,Expenditure,2018,1130815
Alabama,Local,Highway,Expenditure,2017,1133421
Alabama,Local,Highway,Expenditure,2016,989344
Alabama,Local,Highway,Expenditure,2015,907236
Alabama,Local,Highway,Expenditure,2014,856795
Alabama,Local,Highway,Expenditure,2013,910436
Alabama,Local,Highway,Expenditure,2012,987466
Alabama,Local,Highway,Expenditure,2011,932573
Alabama,Local,Highway,Expenditure,2010,950967
Alabama,Local,Highway,Expenditure,2009,1089500
Alabama,Local,Highway,Expenditure,2008,947260
Alabama,Local,Highway,Expenditure,2007,1050357
Alabama,Local,Highway,Expenditure,2006,1069915
Alabama,Local,Highway,Expenditure,2005,936169
Alabama,Local,Highway,Expenditure,2004,733251
Alabama,Local,Transit,Expenditure,2021,79082
Alabama,Local,Transit,Expenditure,2020,81056
Alabama,Local,Transit,Expenditure,2019,72438
Alabama,Local,Transit,Expenditure,2018,73341
Alabama,Local,Transit,Expenditure,2017,72087
Alabama,Local,Transit,Expenditure,2016,67286
Alabama,Local,Transit,Expenditure,2015,61601
Alabama,Local,Transit,Expenditure,2014,60617
Alabama,Local,Transit,Expenditure,2013,60776
Alabama,Local,Transit,Expenditure,2012,64059
Alabama,Local,Transit,Expenditure,2011,67325
Alabama,Local,Transit,Expenditure,2010,65662
Alabama,Local,Transit,Expenditure,2009,62866
Alabama,Local,Transit,Expenditure,2008,74073
Alabama,Local,Transit,Expenditure,2007,62958
Alabama,Local,Transit,Expenditure,2006,53679
Alabama,Local,Transit,Expenditure,2005,53673
Alabama,Local,Transit,Expenditure,2004,42112
Alabama,State,Highway,Expenditure,2021,2508426
Alabama,State,Highway,Expenditure,2020,2770854
Alabama,State,Highway,Expenditure,2019,2887166
Alabama,State,Highway,Expenditure,2018,3260422
Alabama,State,Highway,Expenditure,2017,2580132
Alabama,State,Highway,Expenditure,2016,2671445
Alabama,State,Highway,Expenditure,2015,2693165
Alabama,State,Highway,Expenditure,2014,2560352
Alabama,State,Highway,Expenditure,2013,2604045
Alabama,State,Highway,Expenditure,2012,2394024
Alabama,State,Highway,Expenditure,2011,2403752
Alabama,State,Highway,Expenditure,2010,2243907
Alabama,State,Highway,Expenditure,2009,2487798
Alabama,State,Highway,Expenditure,2008,2074663
Alabama,State,Highway,Expenditure,2007,2063199
Alabama,State,Highway,Expenditure,2006,2047309
Alabama,State,Highway,Expenditure,2005,1955608
Alabama,State,Highway,Expenditure,2004,1877641
Alabama,State,Transit,Expenditure,2021,0
Alabama,State,Transit,Expenditure,2020,0
Alabama,State,Transit,Expenditure,2019,0
Alabama,State,Transit,Expenditure,2018,0
Alabama,State,Transit,Expenditure,2017,0
Alabama,State,Transit,Expenditure,2016,0
Alabama,State,Transit,Expenditure,2015,0
Alabama,State,Transit,Expenditure,2014,0
Alabama,State,Transit,Expenditure,2013,0
Alabama,State,Transit,Expenditure,2012,0
Alabama,State,Transit,Expenditure,2011,0
Alabama,State,Transit,Expenditure,2010,0
Alabama,State,Transit,Expenditure,2009,0
Alabama,State,Transit,Expenditure,2008,0
Alabama,State,Transit,Expenditure,2007,0
Alabama,State,Transit,Expenditure,2004,0
Alabama,State and Local,Highway,Expenditure,2021,3846189
Alabama,State and Local,Highway,Expenditure,2020,4003291
Alabama,State and Local,Highway,Expenditure,2019,4045705
Alabama,State and Local,Highway,Expenditure,2018,4391237
Alabama,State and Local,Highway,Expenditure,2017,3713553
Alabama,State and Local,Highway,Expenditure,2016,3660789
Alabama,State and Local,Highway,Expenditure,2015,3600401
Alabama,State and Local,Highway,Expenditure,2014,3417147
Alabama,State and Local,Highway,Expenditure,2013,3514481
Alabama,State and Local,Highway,Expenditure,2012,3381490
Alabama,State and Local,Highway,Expenditure,2011,3336325
Alabama,State and Local,Highway,Expenditure,2010,3194874
Alabama,State and Local,Highway,Expenditure,2009,3577298
Alabama,State and Local,Highway,Expenditure,2008,3021923
Alabama,State and Local,Highway,Expenditure,2007,3113556
Alabama,State and Local,Highway,Expenditure,2006,3117224
Alabama,State and Local,Highway,Expenditure,2005,2891777
Alabama,State and Local,Highway,Expenditure,2004,2610892
Alabama,State and Local,Transit,Expenditure,2021,79082
Alabama,State and Local,Transit,Expenditure,2020,81056
Alabama,State and Local,Transit,Expenditure,2019,72438
Alabama,State and Local,Transit,Expenditure,2018,73341
Alabama,State and Local,Transit,Expenditure,2017,72087
Alabama,State and Local,Transit,Expenditure,2016,67286
Alabama,State and Local,Transit,Expenditure,2015,61601
Alabama,State and Local,Transit,Expenditure,2014,60617
Alabama,State and Local,Transit,Expenditure,2013,60776
Alabama,State and Local,Transit,Expenditure,2012,64059
Alabama,State and Local,Transit,Expenditure,2011,67325
Alabama,State and Local,Transit,Expenditure,2010,65662
Alabama,State and Local,Transit,Expenditure,2009,62866
Alabama,State and Local,Transit,Expenditure,2008,74073
Alabama,State and Local,Transit,Expenditure,2007,62958
Alabama,State and Local,Transit,Expenditure,2006,53679
Alabama,State and Local,Transit,Expenditure,2005,53673
Alabama,State and Local,Transit,Expenditure,2004,42112
Alaska,Local,Highway,Expenditure,2021,322661
Alaska,Local,Highway,Expenditure,2020,316585
Alaska,Local,Highway,Expenditure,2019,338920
Alaska,Local,Highway,Expenditure,2018,401080
Alaska,Local,Highway,Expenditure,2017,392573
Alaska,Local,Highway,Expenditure,2016,444169
Alaska,Local,Highway,Expenditure,2015,473121
Alaska,Local,Highway,Expenditure,2014,500083
Alaska,Local,Highway,Expenditure,2013,355563
Alaska,Local,Highway,Expenditure,2012,289110
Alaska,Local,Highway,Expenditure,2011,416516
Alaska,Local,Highway,Expenditure,2010,452007
Alaska,Local,Highway,Expenditure,2009,599063
Alaska,Local,Highway,Expenditure,2008,303335
Alaska,Local,Highway,Expenditure,2007,301586
Alaska,Local,Highway,Expenditure,2006,253148
Alaska,Local,Highway,Expenditure,2005,231218
Alaska,Local,Highway,Expenditure,2004,198169
Alaska,Local,Transit,Expenditure,2021,58818
Alaska,Local,Transit,Expenditure,2020,54972
Alaska,Local,Transit,Expenditure,2019,50744
Alaska,Local,Transit,Expenditure,2018,54424
Alaska,Local,Transit,Expenditure,2017,50601
Alaska,Local,Transit,Expenditure,2016,53694
Alaska,Local,Transit,Expenditure,2015,47726
Alaska,Local,Transit,Expenditure,2014,58492
Alaska,Local,Transit,Expenditure,2013,54529
Alaska,Local,Transit,Expenditure,2012,60318
Alaska,Local,Transit,Expenditure,2011,61339
Alaska,Local,Transit,Expenditure,2010,50625
Alaska,Local,Transit,Expenditure,2009,59249
Alaska,Local,Transit,Expenditure,2008,48277
Alaska,Local,Transit,Expenditure,2007,47054
Alaska,Local,Transit,Expenditure,2006,40484
Alaska,Local,Transit,Expenditure,2005,35349
Alaska,Local,Transit,Expenditure,2004,26806
Alaska,State,Highway,Expenditure,2021,1721776
Alaska,State,Highway,Expenditure,2020,1854768
Alaska,State,Highway,Expenditure,2019,1671945
Alaska,State,Highway,Expenditure,2018,1863967
Alaska,State,Highway,Expenditure,2017,1739148
Alaska,State,Highway,Expenditure,2016,2038279
Alaska,State,Highway,Expenditure,2015,1937045
Alaska,State,Highway,Expenditure,2014,1892862
Alaska,State,Highway,Expenditure,2013,1657515
Alaska,State,Highway,Expenditure,2012,1516456
Alaska,State,Highway,Expenditure,2011,2152156
Alaska,State,Highway,Expenditure,2010,2272489
Alaska,State,Highway,Expenditure,2009,2087322
Alaska,State,Highway,Expenditure,2008,2060336
Alaska,State,Highway,Expenditure,2007,1852296
Alaska,State,Highway,Expenditure,2006,1746454
Alaska,State,Highway,Expenditure,2005,1652901
Alaska,State,Highway,Expenditure,2004,1165728
Alaska,State,Transit,Expenditure,2021,0
Alaska,State,Transit,Expenditure,2020,0
Alaska,State,Transit,Expenditure,2019,0
Alaska,State,Transit,Expenditure,2018,0
Alaska,State,Transit,Expenditure,2017,0
Alaska,State,Transit,Expenditure,2016,0
Alaska,State,Transit,Expenditure,2015,0
Alaska,State,Transit,Expenditure,2014,0
Alaska,State,Transit,Expenditure,2013,0
Alaska,State,Transit,Expenditure,2012,0
Alaska,State,Transit,Expenditure,2011,0
Alaska,State,Transit,Expenditure,2010,0
Alaska,State,Transit,Expenditure,2009,0
Alaska,State,Transit,Expenditure,2008,0
Alaska,State,Transit,Expenditure,2007,0
Alaska,State,Transit,Expenditure,2004,0
Alaska,State and Local,Highway,Expenditure,2021,2044437
Alaska,State and Local,Highway,Expenditure,2020,2171353
Alaska,State and Local,Highway,Expenditure,2019,2010865
Alaska,State and Local,Highway,Expenditure,2018,2265047
Alaska,State and Local,Highway,Expenditure,2017,2131721
Alaska,State and Local,Highway,Expenditure,2016,2482448
Alaska,State and Local,Highway,Expenditure,2015,2410166
Alaska,State and Local,Highway,Expenditure,2014,2392945
Alaska,State and Local,Highway,Expenditure,2013,2013078
Alaska,State and Local,Highway,Expenditure,2012,1805566
Alaska,State and Local,Highway,Expenditure,2011,2568672
Alaska,State and Local,Highway,Expenditure,2010,2724496
Alaska,State and Local,Highway,Expenditure,2009,2686385
Alaska,State and Local,Highway,Expenditure,2008,2363671
Alaska,State and Local,Highway,Expenditure,2007,2153882
Alaska,State and Local,Highway,Expenditure,2006,1999602
Alaska,State and Local,Highway,Expenditure,2005,1884119
Alaska,State and Local,Highway,Expenditure,2004,1363897
Alaska,State and Local,Transit,Expenditure,2021,58818
Alaska,State and Local,Transit,Expenditure,2020,54972
Alaska,State and Local,Transit,Expenditure,2019,50744
Alaska,State and Local,Transit,Expenditure,2018,54424
Alaska,State and Local,Transit,Expenditure,2017,50601
Alaska,State and Local,Transit,Expenditure,2016,53694
Alaska,State and Local,Transit,Expenditure,2015,47726
Alaska,State and Local,Transit,Expenditure,2014,58492
Alaska,State and Local,Transit,Expenditure,2013,54529
Alaska,State and Local,Transit,Expenditure,2012,60318
Alaska,State and Local,Transit,Expenditure,2011,61339
Alaska,State and Local,Transit,Expenditure,2010,50625
Alaska,State and Local,Transit,Expenditure,2009,59249
Alaska,State and Local,Transit,Expenditure,2008,48277
Alaska,State and Local,Transit,Expenditure,2007,47054
Alaska,State and Local,Transit,Expenditure,2006,40484
Alaska,State and Local,Transit,Expenditure,2005,35349
Alaska,State and Local,Transit,Expenditure,2004,26806
Arizona,Local,Highway,Expenditure,2021,2524577
Arizona,Local,Highway,Expenditure,2020,2283968
Arizona,Local,Highway,Expenditure,2019,2140749
Arizona,Local,Highway,Expenditure,2018,1666862
Arizona,Local,Highway,Expenditure,2017,1581742
Arizona,Local,Highway,Expenditure,2016,1379971
Arizona,Local,Highway,Expenditure,2015,1330620
Arizona,Local,Highway,Expenditure,2014,1339608
Arizona,Local,Highway,Expenditure,2013,1468127
Arizona,Local,Highway,Expenditure,2012,1413732
Arizona,Local,Highway,Expenditure,2011,1607344
Arizona,Local,Highway,Expenditure,2010,1802481
Arizona,Local,Highway,Expenditure,2009,2152999
Arizona,Local,Highway,Expenditure,2008,2167114
Arizona,Local,Highway,Expenditure,2007,2218687
Arizona,Local,Highway,Expenditure,2006,1595915
Arizona,Local,Highway,Expenditure,2005,1309128
Arizona,Local,Highway,Expenditure,2004,1150934
Arizona,Local,Transit,Expenditure,2021,932798
Arizona,Local,Transit,Expenditure,2020,1032701
Arizona,Local,Transit,Expenditure,2019,993631
Arizona,Local,Transit,Expenditure,2018,978693
Arizona,Local,Transit,Expenditure,2017,761110
Arizona,Local,Transit,Expenditure,2016,752476
Arizona,Local,Transit,Expenditure,2015,832877
Arizona,Local,Transit,Expenditure,2014,903151
Arizona,Local,Transit,Expenditure,2013,846494
Arizona,Local,Transit,Expenditure,2012,719627
Arizona,Local,Transit,Expenditure,2011,652646
Arizona,Local,Transit,Expenditure,2010,823173
Arizona,Local,Transit,Expenditure,2009,1040435
Arizona,Local,Transit,Expenditure,2008,951239
Arizona,Local,Transit,Expenditure,2007,845370
Arizona,Local,Transit,Expenditure,2006,706360
Arizona,Local,Transit,Expenditure,2005,380380
Arizona,Local,Transit,Expenditure,2004,433429
Arizona,State,Highway,Expenditure,2021,2276253
Arizona,State,Highway,Expenditure,2020,2508756
Arizona,State,Highway,Expenditure,2019,2372935
Arizona,State,Highway,Expenditure,2018,2511890
Arizona,State,Highway,Expenditure,2017,2371474
Arizona,State,Highway,Expenditure,2016,2421989
Arizona,State,Highway,Expenditure,2015,2080109
Arizona,State,Highway,Expenditure,2014,1824137
Arizona,State,Highway,Expenditure,2013,2132589
Arizona,State,Highway,Expenditure,2012,2317615
Arizona,State,Highway,Expenditure,2011,2384291
Arizona,State,Highway,Expenditure,2010,2563634
Arizona,State,Highway,Expenditure,2009,2764473
Arizona,State,Highway,Expenditure,2008,2632302
Arizona,State,Highway,Expenditure,2007,2015854
Arizona,State,Highway,Expenditure,2006,2239566
Arizona,State,Highway,Expenditure,2005,1900203
Arizona,State,Highway,Expenditure,2004,2139537
Arizona,State,Transit,Expenditure,2021,0
Arizona,State,Transit,Expenditure,2020,0
Arizona,State,Transit,Expenditure,2019,0
Arizona,State,Transit,Expenditure,2018,0
Arizona,State,Transit,Expenditure,2017,0
Arizona,State,Transit,Expenditure,2016,0
Arizona,State,Transit,Expenditure,2015,0
Arizona,State,Transit,Expenditure,2014,0
Arizona,State,Transit,Expenditure,2013,0
Arizona,State,Transit,Expenditure,2012,0
Arizona,State,Transit,Expenditure,2011,0
Arizona,State,Transit,Expenditure,2010,0
Arizona,State,Transit,Expenditure,2009,0
Arizona,State,Transit,Expenditure,2008,0
Arizona,State,Transit,Expenditure,2007,0
Arizona,State,Transit,Expenditure,2004,0
Arizona,State and Local,Highway,Expenditure,2021,4800830
Arizona,State and Local,Highway,Expenditure,2020,4792724
Arizona,State and Local,Highway,Expenditure,2019,4513684
Arizona,State and Local,Highway,Expenditure,2018,4178752
Arizona,State and Local,Highway,Expenditure,2017,3953216
Arizona,State and Local,Highway,Expenditure,2016,3801960
Arizona,State and Local,Highway,Expenditure,2015,3410729
Arizona,State and Local,Highway,Expenditure,2014,3163745
Arizona,State and Local,Highway,Expenditure,2013,3600716
Arizona,State and Local,Highway,Expenditure,2012,3731347
Arizona,State and Local,Highway,Expenditure,2011,3991635
Arizona,State and Local,Highway,Expenditure,2010,4366115
Arizona,State and Local,Highway,Expenditure,2009,4917472
Arizona,State and Local,Highway,Expenditure,2008,4799416
Arizona,State and Local,Highway,Expenditure,2007,4234541
Arizona,State and Local,Highway,Expenditure,2006,3835481
Arizona,State and Local,Highway,Expenditure,2005,3209331
Arizona,State and Local,Highway,Expenditure,2004,3290471
Arizona,State and Local,Transit,Expenditure,2021,932798
Arizona,State and Local,Transit,Expenditure,2020,1032701
Arizona,State and Local,Transit,Expenditure,2019,993631
Arizona,State and Local,Transit,Expenditure,2018,978693
Arizona,State and Local,Transit,Expenditure,2017,761110
Arizona,State and Local,Transit,Expenditure,2016,752476
Arizona,State and Local,Transit,Expenditure,2015,832877
Arizona,State and Local,Transit,Expenditure,2014,903151
Arizona,State and Local,Transit,Expenditure,2013,846494
Arizona,State and Local,Transit,Expenditure,2012,719627
Arizona,State and Local,Transit,Expenditure,2011,652646
Arizona,State and Local,Transit,Expenditure,2010,823173
Arizona,State and Local,Transit,Expenditure,2009,1040435
Arizona,State and Local,Transit,Expenditure,2008,951239
Arizona,State and Local,Transit,Expenditure,2007,845370
Arizona,State and Local,Transit,Expenditure,2006,706360
Arizona,State and Local,Transit,Expenditure,2005,380380
Arizona,State and Local,Transit,Expenditure,2004,433429
Arkansas,Local,Highway,Expenditure,2021,782064
Arkansas,Local,Highway,Expenditure,2020,772871
Arkansas,Local,Highway,Expenditure,2019,715931
Arkansas,Local,Highway,Expenditure,2018,733430
Arkansas,Local,Highway,Expenditure,2017,769235
Arkansas,Local,Highway,Expenditure,2016,724936
Arkansas,Local,Highway,Expenditure,2015,641940
Arkansas,Local,Highway,Expenditure,2014,606063
Arkansas,Local,Highway,Expenditure,2013,617182
Arkansas,Local,Highway,Expenditure,2012,549317
Arkansas,Local,Highway,Expenditure,2011,624234
Arkansas,Local,Highway,Expenditure,2010,680133
Arkansas,Local,Highway,Expenditure,2009,655070
Arkansas,Local,Highway,Expenditure,2008,608898
Arkansas,Local,Highway,Expenditure,2007,546789
Arkansas,Local,Highway,Expenditure,2006,412038
Arkansas,Local,Highway,Expenditure,2005,386585
Arkansas,Local,Highway,Expenditure,2004,376153
Arkansas,Local,Transit,Expenditure,2021,36063
Arkansas,Local,Transit,Expenditure,2020,37261
Arkansas,Local,Transit,Expenditure,2019,30901
Arkansas,Local,Transit,Expenditure,2018,35064
Arkansas,Local,Transit,Expenditure,2017,29864
Arkansas,Local,Transit,Expenditure,2016,41515
Arkansas,Local,Transit,Expenditure,2015,30149
Arkansas,Local,Transit,Expenditure,2014,29274
Arkansas,Local,Transit,Expenditure,2013,27334
Arkansas,Local,Transit,Expenditure,2012,27584
Arkansas,Local,Transit,Expenditure,2011,38099
Arkansas,Local,Transit,Expenditure,2010,27948
Arkansas,Local,Transit,Expenditure,2009,27848
Arkansas,Local,Transit,Expenditure,2008,25464
Arkansas,Local,Transit,Expenditure,2007,29000
Arkansas,Local,Transit,Expenditure,2006,20482
Arkansas,Local,Transit,Expenditure,2005,29512
Arkansas,Local,Transit,Expenditure,2004,27926
Arkansas,State,Highway,Expenditure,2021,2786098
Arkansas,State,Highway,Expenditure,2020,2119819
Arkansas,State,Highway,Expenditure,2019,1928959
Arkansas,State,Highway,Expenditure,2018,2503203
Arkansas,State,Highway,Expenditure,2017,2559145
Arkansas,State,Highway,Expenditure,2016,1967000
Arkansas,State,Highway,Expenditure,2015,1956767
Arkansas,State,Highway,Expenditure,2014,1945222
Arkansas,State,Highway,Expenditure,2013,1754947
Arkansas,State,Highway,Expenditure,2012,1663301
Arkansas,State,Highway,Expenditure,2011,1482585
Arkansas,State,Highway,Expenditure,2010,1248783
Arkansas,State,Highway,Expenditure,2009,1219519
Arkansas,State,Highway,Expenditure,2008,1239929
Arkansas,State,Highway,Expenditure,2007,1222585
Arkansas,State,Highway,Expenditure,2006,1337475
Arkansas,State,Highway,Expenditure,2005,1353035
Arkansas,State,Highway,Expenditure,2004,1690765
Arkansas,State,Transit,Expenditure,2021,0
Arkansas,State,Transit,Expenditure,2020,0
Arkansas,State,Transit,Expenditure,2019,0
Arkansas,State,Transit,Expenditure,2018,0
Arkansas,State,Transit,Expenditure,2017,0
Arkansas,State,Transit,Expenditure,2016,0
Arkansas,State,Transit,Expenditure,2015,0
Arkansas,State,Transit,Expenditure,2014,0
Arkansas,State,Transit,Expenditure,2013,0
Arkansas,State,Transit,Expenditure,2012,0
Arkansas,State,Transit,Expenditure,2011,0
Arkansas,State,Transit,Expenditure,2010,0
Arkansas,State,Transit,Expenditure,2009,0
Arkansas,State,Transit,Expenditure,2008,0
Arkansas,State,Transit,Expenditure,2007,0
Arkansas,State,Transit,Expenditure,2004,0
Arkansas,State and Local,Highway,Expenditure,2021,3568162
Arkansas,State and Local,Highway,Expenditure,2020,2892690
Arkansas,State and Local,Highway,Expenditure,2019,2644890
Arkansas,State and Local,Highway,Expenditure,2018,3236633
Arkansas,State and Local,Highway,Expenditure,2017,3328380
Arkansas,State and Local,Highway,Expenditure,2016,2691936
Arkansas,State and Local,Highway,Expenditure,2015,2598707
Arkansas,State and Local,Highway,Expenditure,2014,2551285
Arkansas,State and Local,Highway,Expenditure,2013,2372129
Arkansas,State and Local,Highway,Expenditure,2012,2212618
Arkansas,State and Local,Highway,Expenditure,2011,2106819
Arkansas,State and Local,Highway,Expenditure,2010,1928916
Arkansas,State and Local,Highway,Expenditure,2009,1874589
Arkansas,State and Local,Highway,Expenditure,2008,1848827
Arkansas,State and Local,Highway,Expenditure,2007,1769374
Arkansas,State and Local,Highway,Expenditure,2006,1749513
Arkansas,State and Local,Highway,Expenditure,2005,1739620
Arkansas,State and Local,Highway,Expenditure,2004,2066918
Arkansas,State and Local,Transit,Expenditure,2021,36063
Arkansas,State and Local,Transit,Expenditure,2020,37261
Arkansas,State and Local,Transit,Expenditure,2019,30901
Arkansas,State and Local,Transit,Expenditure,2018,35064
Arkansas,State and Local,Transit,Expenditure,2017,29864
Arkansas,State and Local,Transit,Expenditure,2016,41515
Arkansas,State and Local,Transit,Expenditure,2015,30149
Arkansas,State and Local,Transit,Expenditure,2014,29274
Arkansas,State and Local,Transit,Expenditure,2013,27334
Arkansas,State and Local,Transit,Expenditure,2012,27584
Arkansas,State and Local,Transit,Expenditure,2011,38099
Arkansas,State and Local,Transit,Expenditure,2010,27948
Arkansas,State and Local,Transit,Expenditure,2009,27848
Arkansas,State and Local,Transit,Expenditure,2008,25464
Arkansas,State and Local,Transit,Expenditure,2007,29000
Arkansas,State and Local,Transit,Expenditure,2006,20482
Arkansas,State and Local,Transit,Expenditure,2005,29512
Arkansas,State and Local,Transit,Expenditure,2004,27926
California,Local,Highway,Expenditure,2021,17909910
California,Local,Highway,Expenditure,2020,15399794
California,Local,Highway,Expenditure,2019,12350913
California,Local,Highway,Expenditure,2018,14462452
California,Local,Highway,Expenditure,2017,11518983
California,Local,Highway,Expenditure,2016,13179384
California,Local,Highway,Expenditure,2015,13222031
California,Local,Highway,Expenditure,2014,13597598
California,Local,Highway,Expenditure,2013,12681288
California,Local,Highway,Expenditure,2012,12402989
California,Local,Highway,Expenditure,2011,11160497
California,Local,Highway,Expenditure,2010,11206073
California,Local,Highway,Expenditure,2009,11532524
California,Local,Highway,Expenditure,2008,10318982
California,Local,Highway,Expenditure,2007,10607938
California,Local,Highway,Expenditure,2006,8794846
California,Local,Highway,Expenditure,2005,7985566
California,Local,Highway,Expenditure,2004,7777451
California,Local,Transit,Expenditure,2021,18465943
California,Local,Transit,Expenditure,2020,16090018
California,Local,Transit,Expenditure,2019,15527669
California,Local,Transit,Expenditure,2018,14111010
California,Local,Transit,Expenditure,2017,14457283
California,Local,Transit,Expenditure,2016,12670646
California,Local,Transit,Expenditure,2015,12448896
California,Local,Transit,Expenditure,2014,12171533
California,Local,Transit,Expenditure,2013,11392157
California,Local,Transit,Expenditure,2012,10408681
California,Local,Transit,Expenditure,2011,10066346
California,Local,Transit,Expenditure,2010,9693423
California,Local,Transit,Expenditure,2009,9579011
California,Local,Transit,Expenditure,2008,8899197
California,Local,Transit,Expenditure,2007,8458057
California,Local,Transit,Expenditure,2006,7550349
California,Local,Transit,Expenditure,2005,7228736
California,Local,Transit,Expenditure,2004,7710343
California,State,Highway,Expenditure,2021,16774267
California,State,Highway,Expenditure,2020,17133942
California,State,Highway,Expenditure,2019,15540176
California,State,Highway,Expenditure,2018,10940057
California,State,Highway,Expenditure,2017,10921410
